trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-108.96780636635536,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 1.0}",25,0,-79.44208005231125,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.01, 'e': 1.0}",25,0,-71.26535670961611,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 1.0}",30,0,-118.62828529207832,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 1.0}",20,0,-176.2321540821477,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 1.0}",20,0,-101.06856112572181,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 1.0}",20,0,-160.12334839012843,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.01, 'e': 1.0}",25,0,-47.2862905706929,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 1.0}",25,0,-126.98979744496599,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 1.0}",20,0,-52.955842538919626,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 1.0}",25,0,-180.79863248488812,"{0: 14, 1: 1, 2: 4, 3: 4, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9999999999999999}",25,0,-110.6186934862661,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9999999999999999}",20,0,-148.7739488468915,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9999999999999999}",25,0,-95.76464261045741,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9999999999999999}",20,0,-98.03746155492769,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9999999999999999}",20,5,-16.55328191935883,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.9999999999999998}",20,0,-112.05363146068042,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
