trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.999000499833375}",20,0,-178.49150325455474,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9980019986673331}",20,4,-95.1914127075524,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.997004495503373}",20,0,-122.45348240831251,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9960079893439915}",25,0,-162.3966739253609,"{0: 16, 1: 2, 2: 1, 3: 4, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9950124791926823}",20,0,-102.59536664940768,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9940179640539353}",25,0,-79.27854313768684,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9930244429332351}",30,2,-73.3985218864617,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9920319148370607}",20,7,-74.72429464502727,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9910403787728836}",25,1,-138.8187215170798,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 2}",1
10,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-186.5781285997533,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9890602787753687}",30,0,-207.7067781473322,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9880717128619305}",25,0,-104.31743173435834,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9870841350202876}",20,0,-60.44636634873586,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9860975442628619}",30,12,-53.62995865381042,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9851119396030626}",20,0,-178.84438714756263,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
