trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.18766695428616,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.028728542392514,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,12,-6.61394572212318,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.96250760705891,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.94203511584809,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.92941811419935,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.545391189460986,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.40255656893456,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.0246068390602,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.37583009358228,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.4946198129636,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.60843961080717,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.25152672899478,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.54699646076554,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.93976619888116,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.230151913538315,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,4.418273616665318,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.82444395636539,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.23957942445747,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.19225710620512,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-272.6295078055859,"{0: 5, 1: 3, 2: 6, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.70516983314789,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.372218124024705,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,4,-84.79055985923387,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.53703439272299,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.59745080640693,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.149657299144096,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-65.96100362059256,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-188.629556046148,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,10,-91.40865250704636,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
